pais,departamento,localidad
URUGUAY,COLONIA,RIACHUELO
URUGUAY,COLONIA,JUAN CARLOS CASEROS
URUGUAY,COLONIA,AGRACIADA
URUGUAY,COLONIA,BOCA DEL ROSARIO
URUGUAY,COLONIA,CUFRE
URUGUAY,COLONIA,EL SEMILLERO
URUGUAY,COLONIA,ESTACION ESTANZUELA
URUGUAY,COLONIA,CERROS DE SAN JUAN
URUGUAY,COLONIA,MIGUELETE
URUGUAY,COLONIA,CAMPANA
URUGUAY,COLONIA,ARTILLEROS
URUGUAY,COLONIA,BARKER
URUGUAY,COLONIA,EL ENSUEÐO
URUGUAY,COLONIA,BLANCA ARENA
URUGUAY,COLONIA,BRISAS DEL PLATA
URUGUAY,COLONIA,COLONIA COSMOPOLITA
URUGUAY,COLONIA,PARAJE MINUANO
URUGUAY,COLONIA,LOS PINOS
URUGUAY,COLONIA,CHICO TORINO
URUGUAY,COLONIA,LA HORQUETA
URUGUAY,COLONIA,PLAYA AZUL
URUGUAY,COLONIA,PLAYA BRITOPOLIS
URUGUAY,COLONIA,PLAYA PARANT
URUGUAY,COLONIA,PLAYA FOMENTO
URUGUAY,COLONIA,PUERTO INGLES
URUGUAY,COLONIA,RADIAL HERNANDEZ
URUGUAY,COLONIA,SAN PEDRO
URUGUAY,COLONIA,SANTA ANA
URUGUAY,COLONIA,SANTA REGINA
URUGUAY,COLONIA,ZAGARZAZU
URUGUAY,COLONIA,ARRIVILLAGA
URUGUAY,COLONIA,EL FARO
URUGUAY,COLONIA,LAGUNA DE LOS PATOS
URUGUAY,COLONIA,JUAN JACKSON
URUGUAY,COLONIA,PUEBLO GIL
URUGUAY,COLONIA,CERRO CARMELO
URUGUAY,COLONIA,EL QUINTON
URUGUAY,DURAZNO,DURAZNO
URUGUAY,DURAZNO,SARANDI DEL YI
URUGUAY,DURAZNO,CARMEN
URUGUAY,DURAZNO,BLANQUILLO
URUGUAY,DURAZNO,LA PALOMA
URUGUAY,DURAZNO,CARLOS REYLES
URUGUAY,DURAZNO,CENTENARIO
URUGUAY,DURAZNO,SANTA BERNARDINA
URUGUAY,DURAZNO,CERRO CHATO
URUGUAY,DURAZNO,BAYGORRIA
URUGUAY,DURAZNO,AGUAS BUENAS
URUGUAY,DURAZNO,PUEBLO DE ALVAREZ
URUGUAY,DURAZNO,FELICIANO
URUGUAY,DURAZNO,OMBUES DE ORIBE
URUGUAY,DURAZNO,ROSSELL Y RIUS
URUGUAY,DURAZNO,SAN JORGE
URUGUAY,DURAZNO,LAS PALMAS
URUGUAY,FLORES,TRINIDAD
URUGUAY,FLORES,ISMAEL CORTINAS
URUGUAY,FLORES,ANDRESITO
URUGUAY,FLORES,JUAN JOSE CASTRO
URUGUAY,FLORES,LA CASILLA
URUGUAY,FLORES,CERRO COLORADO
URUGUAY,FLORIDA,FLORIDA
URUGUAY,FLORIDA,SARANDI GRANDE
URUGUAY,FLORIDA,CASUPA
URUGUAY,FLORIDA,CARDAL
URUGUAY,FLORIDA,FRAY MARCOS
URUGUAY,FLORIDA,25 DE AGOSTO
URUGUAY,FLORIDA,25 DE MAYO
URUGUAY,FLORIDA,ALEJANDRO GALLINAL
URUGUAY,FLORIDA,CAPILLA DEL SAUCE
URUGUAY,FLORIDA,LA CRUZ
URUGUAY,FLORIDA,NICO PEREZ
URUGUAY,FLORIDA,CERRO CHATO
URUGUAY,FLORIDA,CHAMIZO
URUGUAY,FLORIDA,GOÐI
URUGUAY,FLORIDA,MENDOZA
URUGUAY,FLORIDA,MENDOZA CHICO
URUGUAY,FLORIDA,REBOLEDO
URUGUAY,FLORIDA,VALENTINES
URUGUAY,FLORIDA,BERRONDO
URUGUAY,FLORIDA,PUEBLO FERRER
URUGUAY,FLORIDA,INDEPENDENCIA
URUGUAY,FLORIDA,MONTECORAL
URUGUAY,FLORIDA,PINTADO
URUGUAY,FLORIDA,POLANCO DEL YI
URUGUAY,FLORIDA,PUNTAS DE MACIEL
URUGUAY,FLORIDA,ILLESCAS
URUGUAY,FLORIDA,CASERIO LA FUNDACION
URUGUAY,FLORIDA,LA MACANA
URUGUAY,FLORIDA,ESTACION CAPILLA DEL SAUCE
URUGUAY,FLORIDA,SAN GABRIEL
URUGUAY,LAVALLEJA,MINAS
URUGUAY,LAVALLEJA,JOSE BATLLE Y ORDOÐEZ
URUGUAY,LAVALLEJA,JOSE PEDRO VARELA
URUGUAY,LAVALLEJA,MARISCALA
URUGUAY,LAVALLEJA,SOLIS DE MATAOJO
URUGUAY,LAVALLEJA,PIRARAJA
URUGUAY,LAVALLEJA,ZAPICAN
URUGUAY,LAVALLEJA,COLON
URUGUAY,LAVALLEJA,ARAMENDIA
URUGUAY,LAVALLEJA,BLANES VIALE
URUGUAY,LAVALLEJA,19 DE JUNIO
URUGUAY,LAVALLEJA,ESTACION SOLIS
URUGUAY,LAVALLEJA,GAETAN
URUGUAY,LAVALLEJA,POLANCO NORTE
URUGUAY,LAVALLEJA,VILLA DEL ROSARIO
URUGUAY,LAVALLEJA,VILLA SERRANA
URUGUAY,LAVALLEJA,BARRIO LA CORONILLA - ANCAP
URUGUAY,LAVALLEJA,SAN FRANCISCO DE LAS SIERRAS
URUGUAY,LAVALLEJA,ILLESCAS
URUGUAY,MALDONADO,MALDONADO
URUGUAY,MALDONADO,SAN CARLOS
URUGUAY,MALDONADO,AIGUA
URUGUAY,MALDONADO,PAN DE AZUCAR
URUGUAY,MALDONADO,PIRIAPOLIS
URUGUAY,MALDONADO,PUNTA DEL ESTE
URUGUAY,MALDONADO,CERRO PELADO
URUGUAY,MALDONADO,GARZON
URUGUAY,MALDONADO,GERONA
URUGUAY,MALDONADO,LAS FLORES - ESTACION
URUGUAY,MALDONADO,LOS TALAS
URUGUAY,MALDONADO,NUEVA CARRARA
URUGUAY,MALDONADO,SOLIS
URUGUAY,MALDONADO,PUEBLO SOLIS
URUGUAY,MALDONADO,PINARES - LAS DELICIAS
URUGUAY,MALDONADO,CHIHUAHUA
URUGUAY,MALDONADO,VILLA DELIA
URUGUAY,MALDONADO,SAN RAFAEL - EL PLACER
URUGUAY,MALDONADO,BARRIO HIPODROMO
URUGUAY,MALDONADO,LOS AROMOS
URUGUAY,MALDONADO,BELLA VISTA
URUGUAY,MALDONADO,CANTERAS DE MARELLI
URUGUAY,MALDONADO,CERROS AZULES
URUGUAY,MALDONADO,EL CHORRO
URUGUAY,MALDONADO,EL EDEN
URUGUAY,MALDONADO,EL TESORO
URUGUAY,MALDONADO,FARO JOSE IGNACIO
URUGUAY,MALDONADO,GREGORIO AZNAREZ
URUGUAY,MALDONADO,LA BARRA
URUGUAY,MALDONADO,LA CAPUERA
URUGUAY,MALDONADO,LAS FLORES
URUGUAY,MALDONADO,MANANTIALES
URUGUAY,MALDONADO,OCEAN PARK
URUGUAY,MALDONADO,PLAYA GRANDE
URUGUAY,MALDONADO,PLAYA HERMOSA
URUGUAY,MALDONADO,PLAYA VERDE
URUGUAY,MALDONADO,PUNTA BALLENA
URUGUAY,MALDONADO,PUNTA COLORADA
URUGUAY,MALDONADO,PUNTA NEGRA
URUGUAY,MALDONADO,RUTA 37 Y 9
URUGUAY,MALDONADO,SAUCE DE PORTEZUELO
URUGUAY,MALDONADO,SAN VICENTE
URUGUAY,MALDONADO,BALNEARIO BUENOS AIRES
URUGUAY,MALDONADO,LAS CUMBRES
URUGUAY,MALDONADO,LOS CORCHOS
URUGUAY,MALDONADO,SANTA MONICA
URUGUAY,MALDONADO,EDEN ROCK
URUGUAY,MALDONADO,PARQUE MEDINA
URUGUAY,MALDONADO,ARENAS DE JOSE IGNACIO
URUGUAY,MALDONADO,LA SONRISA
URUGUAY,MALDONADO,EL QUIJOTE
URUGUAY,MALDONADO,LAGUNA BLANCA
URUGUAY,PAYSANDU,PAYSANDU
URUGUAY,PAYSANDU,GUICHON
URUGUAY,PAYSANDU,NUEVO PAYSANDU
URUGUAY,PAYSANDU,QUEBRACHO
URUGUAY,PAYSANDU,TAMBORES
URUGUAY,PAYSANDU,LORENZO GEYRES
URUGUAY,PAYSANDU,MERINOS
URUGUAY,PAYSANDU,PORVENIR
URUGUAY,PAYSANDU,ARBOLITO
URUGUAY,PAYSANDU,BEISSO
URUGUAY,PAYSANDU,CASABLANCA
URUGUAY,PAYSANDU,CERRO CHATO
URUGUAY,PAYSANDU,CONSTANCIA
URUGUAY,PAYSANDU,MORATO
URUGUAY,PAYSANDU,PIEDRAS COLORADAS
URUGUAY,PAYSANDU,PIÐERA
URUGUAY,PAYSANDU,SAN FELIX
URUGUAY,PAYSANDU,VILLA MARIA (TIATUCURA)
URUGUAY,PAYSANDU,PIEDRA SOLA
URUGUAY,PAYSANDU,ARAUJO
URUGUAY,PAYSANDU,BELLA VISTA
URUGUAY,PAYSANDU,CAÐADA DEL PUEBLO
URUGUAY,PAYSANDU,CHAPICUY
URUGUAY,PAYSANDU,EL EUCALIPTUS
URUGUAY,PAYSANDU,ESPERANZA
URUGUAY,PAYSANDU,PUEBLO FEDERACION
URUGUAY,PAYSANDU,LA TENTACION
URUGUAY,PAYSANDU,ORGOROSO
URUGUAY,PAYSANDU,CUCHILLA DE BURICAYUPI
URUGUAY,PAYSANDU,SOTO
URUGUAY,PAYSANDU,ZEBALLOS
URUGUAY,PAYSANDU,CHACRAS DE PAYSANDU
URUGUAY,PAYSANDU,GALLINAL
URUGUAY,PAYSANDU,PUNTAS DE ARROYO NEGRO
URUGUAY,PAYSANDU,ESTACION PORVENIR
URUGUAY,PAYSANDU,CUCHILLA DE FUEGO
URUGUAY,PAYSANDU,PUEBLO ALONZO
URUGUAY,PAYSANDU,QUEGUAYAR
URUGUAY,PAYSANDU,TERMAS DE GUAVIYU
URUGUAY,PAYSANDU,TERMAS DE ALMIRON
URUGUAY,RIO NEGRO,FRAY BENTOS
URUGUAY,RIO NEGRO,YOUNG
URUGUAY,RIO NEGRO,NUEVO BERLIN
URUGUAY,RIO NEGRO,SAN JAVIER
URUGUAY,RIO NEGRO,BARRIO ANGLO
URUGUAY,RIO NEGRO,GRECCO
URUGUAY,RIO NEGRO,MERINOS
URUGUAY,RIO NEGRO,ALGORTA
URUGUAY,RIO NEGRO,EL OMBU
URUGUAY,RIO NEGRO,PASO DE LOS MELLIZOS
URUGUAY,RIO NEGRO,SARANDI DE NAVARRO
URUGUAY,RIO NEGRO,VILLA GENERAL BORGES
URUGUAY,RIO NEGRO,VILLA MARIA
URUGUAY,RIO NEGRO,LAS CAÐAS
URUGUAY,RIO NEGRO,BELLACO
URUGUAY,RIO NEGRO,LOS ARRAYANES
URUGUAY,RIO NEGRO,MENAFRA
URUGUAY,RIO NEGRO,TRES QUINTAS
URUGUAY,RIVERA,RIVERA
URUGUAY,RIVERA,MINAS DE CORRALES
URUGUAY,RIVERA,TRANQUERAS
URUGUAY,RIVERA,VICHADERO
URUGUAY,RIVERA,SANTA TERESA
URUGUAY,RIVERA,ARROYO BLANCO
URUGUAY,RIVERA,PASO ATAQUES
URUGUAY,RIVERA,CERRO PELADO
URUGUAY,RIVERA,PASO HOSPITAL
URUGUAY,RIVERA,LAPUENTE
URUGUAY,RIVERA,LAS FLORES
URUGUAY,RIVERA,MOIRONES
URUGUAY,RIVERA,LA PEDRERA
URUGUAY,RIVERA,MANDUBI
URUGUAY,RIVERA,LAGUNON
URUGUAY,RIVERA,AMARILLO
URUGUAY,RIVERA,CERRILLADA
URUGUAY,RIVERA,CERROS DE LA CALERA
URUGUAY,RIVERA,LAGOS DEL NORTE
URUGUAY,RIVERA,MASOLLER
URUGUAY,ROCHA,ROCHA
URUGUAY,ROCHA,CASTILLOS
URUGUAY,ROCHA,LASCANO
URUGUAY,ROCHA,CHUY
URUGUAY,ROCHA,CEBOLLATI
URUGUAY,ROCHA,VELAZQUEZ
URUGUAY,ROCHA,18 DE JULIO
URUGUAY,ROCHA,LA PALOMA
URUGUAY,ROCHA,SAN LUIS AL MEDIO
URUGUAY,ROCHA,LA AGUADA Y COSTA AZUL
URUGUAY,ROCHA,19 DE ABRIL
URUGUAY,ROCHA,LA CORONILLA
URUGUAY,ROCHA,BARRIO PEREIRA
URUGUAY,ROCHA,AGUAS DULCES
URUGUAY,ROCHA,BARRA DEL CHUY
URUGUAY,ROCHA,BARRIO TORRES
URUGUAY,ROCHA,CABO POLONIO
URUGUAY,ROCHA,CAPACHO
URUGUAY,ROCHA,BARRA DE VALIZAS
URUGUAY,ROCHA,LA ESMERALDA
URUGUAY,ROCHA,LA PEDRERA
URUGUAY,ROCHA,PARALLE
URUGUAY,ROCHA,PUERTO DE LOS BOTES
URUGUAY,ROCHA,PUIMAYEN
URUGUAY,ROCHA,ARACHANIA
URUGUAY,ROCHA,PTA. RUBIA Y STA. ISABEL DE LA PED
URUGUAY,ROCHA,PUNTA DEL DIABLO
URUGUAY,ROCHA,PALMARES DE LA CORONILLA
URUGUAY,ROCHA,LA RIBIERA
URUGUAY,ROCHA,PUENTE VALIZAS
URUGUAY,ROCHA,OCEANIA DEL POLONIO
URUGUAY,ROCHA,PUEBLO NUEVO
URUGUAY,ROCHA,TAJAMARES DE LA PEDRERA
URUGUAY,ROCHA,SAN ANTONIO
URUGUAY,SALTO,SALTO
URUGUAY,SALTO,BELEN
URUGUAY,SALTO,CONSTITUCION
URUGUAY,SALTO,FERNANDEZ
URUGUAY,SALTO,SAN ANTONIO
URUGUAY,SALTO,CHACRAS DE BELEN
URUGUAY,SALTO,ALBISU
URUGUAY,SALTO,BIASSINI
URUGUAY,SALTO,CAMPO DE TODOS
URUGUAY,SALTO,CAYETANO
URUGUAY,SALTO,CUCHILLA DE GUAVIYU
URUGUAY,SALTO,TERMAS DEL DAYMAN
URUGUAY,SALTO,PALOMAS
